pairid,argid,propid_to,propid_from,text_to,text_from,relation,causal_3_cause,causal_3_obstruct,causal_3_else
00160_2#00160_2_4,00160,00160_2,00160_2_4,Unemployed people should be made to work for their welfare money.,"Putting the unemployed into workfare schemes actually limits their opportunities to look for work, by making them show up for make-work schemes when they could be job hunting:",-1,0.13213880360126495,0.11917233467102051,0.7486888766288757
01009_7#01009_7_3,01009,01009_7,01009_7_3,Arranged marriages should be outlawed.,We have made pathetically small progress in stamping out mail order brides which just goes to show how completely unenforceable a much more complex system of regulation over arranged marriages would be.,-1,0.0008262136834673584,1.9761608200496994e-05,0.9991539716720581
00971_5#00971_5_7,00971,00971_5,00971_5_7,The state should be fully privatised.,"Some would also point out that privatizing certain functions of government might hamper coordination, and charge firms with specialized and limited capabilities to perform functions which they are not suited for.",-1,0.0010677323443815112,0.000986623577773571,0.9979457259178162
00874_8#00874_8_22,00874,00874_8,00874_8_22,Society should ban or restrict the sale and use of violent video games.,Claim that the effects of violence and crime-based video games are even worse than similar films and TV because of the interactive element that exists in video games.,1,0.9998898506164551,2.7261736249784008e-05,8.280132169602439e-05
00874_8#00874_8_28,00874,00874_8,00874_8_28,Society should ban or restrict the sale and use of violent video games.,"Argument that during the period in which violent gameplay among youth has increased, youth crime rates have fallen, weakening the causal link between violent game play and violence:",-1,0.9998656511306763,2.7726682674256153e-05,0.00010653617937350646
00055_14#00055_14_3,00055,00055_14,00055_14_3,Iraq should be partitioned into three autonomous sectarian regions.,"Claim that Sunnis may have the most to gain from a partitioning of Iraq, giving them reasons to change their general position to support for a partition plan:",1,0.9804650545120239,4.178982271696441e-05,0.019493062049150467
00800_7#00800_7_10,00800,00800_7,00800_7_10,The US federal government should increase the minimum wage.,States and cities in which raises in the minimum wage are claimed to have had no negative effect on employment (these findings and claims are often cited in the larger debate):,1,0.9438233971595764,0.00023747546947561204,0.05593908578157425
00874_2#00874_2_2,00874,00874_2,00874_2_2,Society should ban or restrict the sale and use of violent video games.,"The primary role of a government is to protect its citizens from damaging themselves and society as a whole, which may include the function of video game censorship:",1,0.008039948530495167,5.685485666617751e-05,0.9919031262397766
00211_7#00211_7_2,00211,00211_7,00211_7_2,The US federal government should increase the minimum wage.,States and cities in which raises in the minimum wage are claimed to have had no negative effect on employment (these findings and claims are often cited in the larger debate):,1,0.9438233971595764,0.00023747546947561204,0.05593908578157425
00966_2#00966_2_5,00966,00966_2,00966_2_5,Women should be allowed to serve in equal combat roles in armed forces.,"While the vast proportion of jobs in the armed forces are open equally to men and women, there are some to which women are just not physically suited.",-1,0.0014151795767247677,0.000997629831545055,0.9975872039794922
00680_3#00680_3_3,00680,00680_3,00680_3_3,Nato should continue to expand into East Europe and possible beyond.,"The increasing trend towards Russian nationalism can be attributed to the weakness of the economy and the continued conflict in Chechnya, rather than the possibility of NATO expansion.",1,0.00012759600940626115,7.84081348683685e-05,0.9997939467430115
00550_6#00550_6_4,00550,00550_6,00550_6_4,Partial-birth abortion should be banned.,Certain medical conditions of the baby or mother that threaten the mothers health or life may develop later in a pregnancy making late-term abortion justified as a way to protect the mothers health.,-1,0.0020479445811361074,0.0001217756507685408,0.9978302121162415
00412_1#00412_1_2,00412,00412_1,00412_1_2,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.",There is actually more turnover in public office than some critics of the present campaign finance systems would like to admit.,-1,0.00022553587041329592,3.714008198585361e-05,0.9997373223304749
00412_1#00412_1_3,00412,00412_1,00412_1_3,"Limits or regulations should be placed on how candidates raise funds, and/or spend them, during political campaigns.","Campaign finance reform will make elections more competitive, thus resulting in more turnover or ""fresh blood"" in politics.",1,0.0002802514936774969,1.5609213733114302e-05,0.9997040629386902
00145_5#00145_5_6,00145,00145_5,00145_5_6,Unregulated distribution of copyrighted works over Internet should be allowed.,The only artists making money off record royalties (receiving money from every copy sold) are the extremely popular ones that already have a lot of money anyway,1,0.0008790346328169107,0.005970288068056107,0.9931506514549255
00431_2#00431_2_2,00431,00431_2,00431_2_2,Women should be allowed to serve in equal combat roles in armed forces.,"While the vast proportion of jobs in the armed forces are open equally to men and women, there are some to which women are just not physically suited.",-1,0.0014151795767247677,0.000997629831545055,0.9975872039794922
00090_2#00090_2_1,00090,00090_2,00090_2_1,Society should ban or restrict the sale and use of violent video games.,"The primary role of a government is to protect its citizens from damaging themselves and society as a whole, which may include the function of video game censorship:",1,0.008039948530495167,5.685485666617751e-05,0.9919031262397766
00228_3#00228_3_3,00228,00228_3,00228_3_3,Flag burning as a form of protest should be prohibited.,"To question whether flag burning is an example of free ""speech"" is to engage in a futile semantic discussion: The law ought to protect the freedom of expression.",-1,0.8034768104553223,8.277225424535573e-05,0.19644047319889069
00118_4#00118_4_2,00118,00118_4,00118_4_2,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,It is more damaging for a child to have to suffer the break-up of their parents than to live through a conflicted household marriage:,-1,0.0001258761913049966,4.055251702084206e-05,0.9998335838317871
00447_2#00447_2_1,00447,00447_2,00447_2_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","Military should not end ""don""t ask don""t tell"" during war",-1,0.010422318242490292,0.00014701644249726087,0.9894306659698486
00447_2#00447_2_4,00447,00447_2,00447_2_4,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell is exploited by troops to avoid combat",1,0.00010160115198232234,1.711358709144406e-05,0.9998812675476074
00447_2#00447_2_5,00447,00447_2,00447_2_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" puts commanders in compromising position",1,0.0030346789862960577,2.3146491002989933e-05,0.9969421029090881
00447_2#00447_2_7,00447,00447_2,00447_2_7,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","Military should not end ""don""t ask don""t tell"" during war",-1,0.010422318242490292,0.00014701644249726087,0.9894306659698486
00615_4#00615_4_4,00615,00615_4,00615_4_4,The international community should intervene militarily in Darfur.,The aims of the Sudanese government were not to eradicate a people but rather to carry out the brutal suppression of what was seen as an existential threat.,-1,0.9614377617835999,8.111929491860792e-05,0.03848104178905487
00447_5#00447_5_1,00447,00447_5,00447_5_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" does not actively pursue gays",-1,0.0001588441082276404,1.937126216944307e-05,0.9998217225074768
00100_3#00100_3_3,00100,00100_3,00100_3_3,Flag burning as a form of protest should be prohibited.,"To question whether flag burning is an example of free ""speech"" is to engage in a futile semantic discussion: The law ought to protect the freedom of expression.",-1,0.8034768104553223,8.277225424535573e-05,0.19644047319889069
00726_5#00726_5_6,00726,00726_5,00726_5_6,The US government should fund embryonic stem cell research.,"The parents of at least 11,000 of these 400,000 embryos have given explicit permission for their embryos to be made available for stem-cell research",1,0.9767246246337891,0.0002478047681506723,0.02302762307226658
00800_5#00800_5_1,00800,00800_5,00800_5_1,The US federal government should increase the minimum wage.,"Argument that there is no overall negative economic impact:The NewMexican.com, ""Santa Fe - ""Study: No harm yet from wage law"":",1,0.9998059868812561,3.240043224650435e-05,0.00016164440603461117
00100_2#00100_2_1,00100,00100_2,00100_2_1,Flag burning as a form of protest should be prohibited.,There is no consistent causal link between flag burning and national security and/or public safety threat (the common justifications for any restrictions on freedom of speech):,-1,0.3350086510181427,0.0005171428783796728,0.6644741296768188
00447_15#00447_15_2,00447,00447_15,00447_15_2,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" has been very costly in dollars",1,0.00041185898589901626,8.870627425494604e-06,0.9995793700218201
00447_18#00447_18_3,00447,00447_18,00447_18_3,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell insults and traumatizes gay troops",1,0.0062903244979679585,2.3356660676654428e-05,0.9936863780021667
00447_18#00447_18_5,00447,00447_18,00447_18_5,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","""Don""t ask don""t tell"" softened military policy on gays",-1,0.0003158458857797086,1.8077465938404202e-05,0.9996660947799683
00664_5#00664_5_1,00664,00664_5,00664_5_1,Whaling is a good idea. The ban on whaling should be dropped.,"The decline in fish stocks is due to overfishing by man, not to the activities of whales, many of which eat only plankton.",-1,0.001555222668685019,4.61799863842316e-05,0.9983986020088196
00145_8#00145_8_2,00145,00145_8,00145_8_2,Unregulated distribution of copyrighted works over Internet should be allowed.,"MP3 files could in principle be a good way of promoting unknown artists, but nearly all the music that is shared and downloaded is highly commercial.",-1,0.0005564652965404093,0.0011498521780595183,0.9982936978340149
00549_4#00549_4_5,00549,00549_4,00549_4_5,The United Kingdom should hand over the Falkland Islands to Argentina.,The Nookta Sound convention did not affect Britains rights to the islands as they already had an agreement with Spain where both nations rights were secured in 1771,-1,0.9966191053390503,0.00012854918895754963,0.003252328373491764
00211_5#00211_5_3,00211,00211_5,00211_5_3,The US federal government should increase the minimum wage.,"Argument that there is no overall negative economic impact:The NewMexican.com, ""Santa Fe - ""Study: No harm yet from wage law"":",1,0.9998059868812561,3.240043224650435e-05,0.00016164440603461117
00228_2#00228_2_4,00228,00228_2,00228_2_4,Flag burning as a form of protest should be prohibited.,There is no consistent causal link between flag burning and national security and/or public safety threat (the common justifications for any restrictions on freedom of speech):,-1,0.3350086510181427,0.0005171428783796728,0.6644741296768188
00447_4#00447_4_1,00447,00447_4,00447_4_1,"Gays should be allowed to serve openly in the US military. ""Don""t ask don""t tell"" is good policy.","If ""immoral"" gays banned from military, ban adulterers too",1,0.0002559041604399681,1.743767825246323e-05,0.9997267127037048
01302_4#01302_4_1,01302,01302_4,01302_4_1,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,It is more damaging for a child to have to suffer the break-up of their parents than to live through a conflicted household marriage:,-1,0.0001258761913049966,4.055251702084206e-05,0.9998335838317871
00800_7#00800_7_51,00800,00800_7,00800_7_51,The US federal government should increase the minimum wage.,Claim that raising the minimum wage may limit the ability of low-skill job-seekers to exchange their low-wage labor for job training and other fringe benefits:,-1,0.9998860359191895,2.6973408239427954e-05,8.703520870767534e-05
00118_1#00118_1_1,00118,00118_1,00118_1_1,Divorce is acceptable in modern society. Individuals should feel free to seek divorce.,"Marriage is about union and love, both of which are hard to fulfill and need to be continually worked on, rather than abandoned casually:",-1,0.00041932682506740093,0.00015316129429265857,0.9994274377822876
00211_7#00211_7_5,00211,00211_7,00211_7_5,The US federal government should increase the minimum wage.,Claim that raising the minimum wage may limit the ability of low-skill job-seekers to exchange their low-wage labor for job training and other fringe benefits:,-1,0.9998860359191895,2.6973408239427954e-05,8.703520870767534e-05
00090_8#00090_8_6,00090,00090_8,00090_8_6,Society should ban or restrict the sale and use of violent video games.,"Claim that the intensity of the above influences of video games on the player are likely only going to grow, as video games become increasingly realistic:",1,0.9998447895050049,2.1556694264290854e-05,0.0001335756096523255
